INFO  | ??:??:?? 6 [PowerFSM] Init the Mesh bluetooth service
INFO  | ??:??:?? 6 [PowerFSM] Set up the advertising payload(s)
INFO  | ??:??:?? 6 [PowerFSM] Advertise
DEBUG | ??:??:?? 6 [GPS] Trying $PMTK605*31 (MTK Family)...
INFO  | ??:??:?? 7 [GPS] BLE Connected to Tensor
DEBUG | ??:??:?? 7 [GPS] BluetoothStatus CONNECTED
INFO  | ??:??:?? 7 [GPS] BLE connection secured
DEBUG | ??:??:?? 7 [GPS] Module Info :
DEBUG | ??:??:?? 7 [GPS] Soft version: ROM CORE 3.01 (107888)
DEBUG | ??:??:?? 7 [GPS] Hard version: 00080000
DEBUG | ??:??:?? 7 [GPS] Extensions:4
DEBUG | ??:??:?? 7 [GPS]   FWVER=SPG 3.01
DEBUG | ??:??:?? 7 [GPS]   PROTVER=18.00
DEBUG | ??:??:?? 7 [GPS]   GPS;GLO;GAL;BDS
DEBUG | ??:??:?? 7 [GPS]   SBAS;IMES;QZSS
DEBUG | ??:??:?? 7 [GPS] Protocol Version:18.00
DEBUG | ??:??:?? 7 [GPS] ProtVer=18
INFO  | ??:??:?? 7 [GPS] U-blox 8 detected
INFO  | ??:??:?? 7 [GPS] GPS+SBAS+GLONASS+Galileo configured
INFO  | ??:??:?? 8 [GPS] CCCD Updated: 1
INFO  | ??:??:?? 8 [GPS] Notify/Indicate enabled
INFO  | ??:??:?? 8 [GPS] CCCD Updated: 1
INFO  | ??:??:?? 8 [GPS] Notify/Indicate enabled
INFO  | ??:??:?? 8 [GPS] toRadioWriteCb data 0x2002da82, len 8
DEBUG | ??:??:?? 8 [GPS] New ToRadio packet
DEBUG | ??:??:?? 8 [GPS] Got client heartbeat
INFO  | ??:??:?? 8 [GPS] toRadioWriteCb data 0x2002da82, len 4
DEBUG | ??:??:?? 8 [GPS] New ToRadio packet
INFO  | ??:??:?? 8 [GPS] Client wants config, nonce=69420
DEBUG | ??:??:?? 8 [GPS] Got zu files in manifest
INFO  | ??:??:?? 8 [GPS] Start API client config millis=8263
DEBUG | ??:??:?? 8 [GPS] FromRadio=STATE_SEND_QUEUE_STATUS, numbytes=6
DEBUG | ??:??:?? 8 [GPS] FromRadio=STATE_SEND_MY_INFO
INFO  | ??:??:?? 8 [GPS] getFromRadio=STATE_SEND_UIDATA
DEBUG | ??:??:?? 8 [GPS] Send My NodeInfo
DEBUG | ??:??:?? 8 [GPS] Send device metadata
DEBUG | ??:??:?? 8 [GPS] Send channels 8
DEBUG | ??:??:?? 8 [GPS] Send config: device
DEBUG | ??:??:?? 9 [GPS] Send config: position
DEBUG | ??:??:?? 9 [GPS] Send config: power
DEBUG | ??:??:?? 9 [GPS] Send config: network
DEBUG | ??:??:?? 9 [GPS] Send config: display
